GeneID	codechain	code	chain	TM	RMSD	AApc	Cov	Cscore	C_sd	TM_model	TM_model_sd	RMSD_model	RMSD_model_sd	GDB_AA	seq.ssLen	nHrc	nErc	nCrc	strucSum	strpPDB_AA	PDB_AA	Species	Molecule
1615	GL50803_15310	2ymuA	2YMU	A	0.7415	1.81	0.162	0.7681	-1.98	0.273715	0.48	0.15	13.1	4.2	733	733	224	61	448	733	577	577	Nostoc_punctiforme	WD-40_REPEAT_PROTEIN
1616	GL50803_15311	4jggA	4JGG	A	0.7487	1.63	0.217	0.8036	0.22	1.12984	0.74	0.11	5.1	3.3	224	224	128	5	91	224	207	207	Pseudomonas_aeruginosa_PAO1	Esterase_TesA
1617	GL50803_15313	4iqmA	4IQM	A	0.802	1.12	0.215	0.8205	-0.59	1.29933	0.64	0.13	7.8	4.4	351	351	152	27	172	351	336	336	Homo_sapiens	tRNA_pseudouridine_synthase_A,_mitochondrial
1618	GL50803_15324	3vx3A	3VX3	A	0.6107	1.39	0.311	0.6317	-2.53	0.374134	0.42	0.14	12.7	4.3	372	372	147	2	223	372	248	248	Thermococcus_kodakarensis	ATPase_involved_in_chromosome_partitioning,_ParA/MinD_family,_Mrp_homolog
1619	GL50803_15326	2on7A	2ON7	A	0.9585	0.83	0.223	0.9806	1.26	0	0.89	0.07	2.9	2.1	206	206	152	3	51	206	206	206	Necator_americanus	Na_Glutathione_S-transferase_1
1620	GL50803_15331	3ucpA	3UCP	A	0.7999	2.84	0.107	0.8471	-2.89	0.263773	0.39	0.13	16.1	3.1	909	909	223	6	680	909	874	874	Shewanella_sp._HRCR_06	UndA
1621	GL50803_15338	2w5bA	2W5B	A	0.8076	1.38	0.225	0.8371	-0.47	0.3951	0.65	0.13	7.3	4.2	313	313	169	7	137	313	279	279	Homo_sapiens	SERINE/THREONINE-PROTEIN_KINASE_NEK2
1622	GL50803_15339	2vglB	2VGL	B	0.8224	1.54	0.201	0.8438	-2.05	0.488164	0.47	0.15	13	4.2	672	672	398	3	271	672	591	591	Homo_sapiens	AP-2_COMPLEX_SUBUNIT_BETA-1
1623	GL50803_15342	3ck9B	3CK9	B	0.8427	2.36	0.112	0.9085	-3.49	0.478623	0.33	0.11	16	3.2	470	470	210	0	260	470	527	527	Bacteroides_thetaiotaomicron_VPI-5482	SusD
1624	GL50803_15343	1xm9A	1XM9	A	0.8148	3.02	0.115	0.9087	-3.97	0.570389	0.29	0.09	17.1	2.7	427	427	241	3	183	427	457	457	Homo_sapiens	plakophilin_1
1625	GL50803_15344	3w3tA	3W3T	A	0.7669	4.33	0.087	0.8651	-1.43	0.240217	0.54	0.15	12.6	4.3	1075	1075	405	30	640	1075	1078	1078	Saccharomyces_cerevisiae	Importin_subunit_beta-3
1626	GL50803_15347	1j0nA	1J0N	A	0.6963	2.38	0.131	0.7286	-2.4	0.188468	0.43	0.14	15.1	3.5	1017	1017	302	44	671	1017	752	752	Bacillus_sp._GL1	XANTHAN_LYASE
1627	GL50803_15353	4k6jA	4K6J	A	0.8218	2.61	0.137	0.8962	-2.91	0.351648	0.38	0.13	14.6	3.7	520	520	279	0	241	520	568	568	Homo_sapiens	Wings_apart-like_protein_homolog
1628	GL50803_15367	4nqiA	4NQI	A	0.8929	1.99	0.087	0.9949	-2.73	0.955749	0.4	0.13	11.6	4.5	196	196	183	0	13	196	264	264	Dictyostelium_discoideum	SH3_domain-containing_protein
1629	GL50803_15368	3eihA	3EIH	A	0.5626	1.19	0.428	0.5737	-3.38	0.100916	0.34	0.11	15.9	3.2	509	509	246	1	262	509	340	340	Saccharomyces_cerevisiae	Vacuolar_protein_sorting-associated_protein_4
1630	GL50803_15369	1ls4A	1LS4	A	0.652	2.81	0.165	0.7773	-3.27	0.956736	0.35	0.12	13.2	4.1	211	211	157	2	52	211	180	180	Locusta_migratoria	Apolipophorin-III
1631	GL50803_15377	4a37A	4A37	A	0.3679	2.77	0.13	0.3904	-2.91	0.0711618	0.38	0.13	15.7	3.3	753	753	368	26	359	753	388	388	Pseudomonas_aeruginosa	METALLO-CARBOXYPEPTIDASE
1632	GL50803_15380	2wwfA	2WWF	A	0.7872	1.63	0.31	0.8268	-0.15	1.02859	0.69	0.12	6.2	3.8	254	254	161	6	87	254	212	212	Plasmodium_falciparum	THYMIDILATE_KINASE,_PUTATIVE
1633	GL50803_15382	3gawA	3GAW	A	0.6318	7.04	0.071	0.8341	-3.23	0.333311	0.35	0.12	17.7	2.5	1127	1127	214	5	908	1127	1213	1213	Homo_sapiens	Complement_factor_H
1634	GL50803_15383	1qmvA	1QMV	A	0.7773	0.85	0.456	0.7927	-0.33	0.895352	0.67	0.13	6.5	3.9	246	246	109	6	131	246	197	197	Homo_sapiens	PEROXIREDOXIN-2
1635	GL50803_15386	2fg1A	2FG1	A	0.7904	1.9	0.242	0.8817	0.71	0.92387	0.81	0.09	3.6	2.5	169	169	85	18	66	169	158	158	Bacteroides_thetaiotaomicron	conserved_hypothetical_protein_BT1257
1636	GL50803_15392	4c0oA	4C0O	A	0.8535	2.83	0.087	0.9124	-1.23	0.528719	0.56	0.15	11.6	4.5	890	890	379	14	497	890	923	923	Homo_sapiens	TRANSPORTIN-3
1637	GL50803_15398	1nltA	1NLT	A	0.6025	1.25	0.299	0.6205	-2.4	0.311101	0.43	0.14	12.3	4.4	361	361	90	10	261	361	248	248	Saccharomyces_cerevisiae	Mitochondrial_protein_import_protein_MAS5
1638	GL50803_15399	3gjxA	3GJX	A	0.8522	3.45	0.104	0.9289	-3.31	0.338845	0.35	0.12	17.6	2.6	984	984	233	3	748	984	1073	1073	Mus_musculus	Exportin-1
1639	GL50803_15404	1rw9A	1RW9	A	0.6874	1.84	0.155	0.7064	-2.52	0.113066	0.42	0.14	15.5	3.3	1056	1056	243	18	795	1056	757	757	Arthrobacter_aurescens	chondroitin_AC_lyase
1640	GL50803_15406	3w3tA	3W3T	A	0.9474	2.23	0.08	0.9844	-1.31	0.300958	0.55	0.15	12.2	4.4	1026	1026	974	0	52	1026	1078	1078	Saccharomyces_cerevisiae_S288c	Importin_subunit_beta-3
1641	GL50803_15410	1n11A	1N11	A	0.8146	2.66	0.187	0.9368	0.17	1.37753	0.74	0.11	5.7	3.6	285	285	237	0	48	285	437	437	Homo_sapiens	Ankyrin
1642	GL50803_15411	4iw0A	4IW0	A	0.8326	1.58	0.122	0.8541	-2.2	0.29104	0.45	0.15	13.5	4	706	706	485	21	200	706	658	658	Homo_sapiens	Serine/threonine-protein_kinase_TBK1
1643	GL50803_15413	4jvsA	4JVS	A	0.6616	3.66	0.099	0.8835	-3.36	0.58256	0.34	0.12	13.3	4.1	206	206	142	0	64	206	310	310	Legionella_drancourtii	Putative_uncharacterized_protein
1644	GL50803_15416	3gjxA	3GJX	A	0.8347	3	0.106	0.8899	-3.29	0.277892	0.35	0.12	17.7	2.5	1054	1054	190	10	854	1054	1073	1073	Mus_musculus	Exportin-1
1645	GL50803_15418	1ialA	1IAL	A	0.8191	1.66	0.141	0.8534	-1.86	0.875297	0.49	0.15	11.7	4.5	498	498	412	3	83	498	453	453	Mus_musculus	IMPORTIN_ALPHA
1646	GL50803_15419	4kvmA	4KVM	A	0.873	3.08	0.099	0.9543	-2.96	0.203037	0.38	0.13	15.5	3.3	678	678	478	5	195	678	734	734	Schizosaccharomyces_pombe_972h-	N-terminal_acetyltransferase_A_complex_subunit_nat1
1647	GL50803_15427	4fr2A	4FR2	A	0.7709	3.11	0.13	0.9449	-2.62	1.12135	0.41	0.14	11.8	4.5	236	236	165	0	71	236	401	401	Oenococcus_oeni	1,3-propanediol_dehydrogenase
1648	GL50803_15428	4kvmA	4KVM	A	0.9452	1.93	0.092	0.9821	-1.46	0.815975	0.54	0.15	11.5	4.5	672	672	647	0	25	672	734	734	Schizosaccharomyces_pombe	N-terminal_acetyltransferase_A_complex_subunit_nat1
1649	GL50803_15429	3kalA	3KAL	A	0.934	1.19	0.194	0.9536	1.19	0	0.88	0.07	4.6	3	453	453	286	15	152	453	499	499	Glycine_max	homoglutathione_synthetase
1650	GL50803_15432	1b3uA	1B3U	A	0.9128	1.9	0.104	0.9531	-1.59	1.02022	0.52	0.15	11.5	4.5	597	597	525	0	72	597	588	588	Homo_sapiens	PROTEIN_(PROTEIN_PHOSPHATASE_PP2A)
1651	GL50803_15436	1ldjA	1LDJ	A	0.8239	1.92	0.085	0.8966	-3.74	0.415192	0.31	0.1	15	3.5	261	261	161	1	99	261	760	760	Homo_sapiens	Cullin_homolog_1
1652	GL50803_15442	4c0oA	4C0O	A	0.8414	3.21	0.08	0.9086	-3.02	0.430181	0.37	0.13	16.6	2.9	952	952	334	8	610	952	923	923	Homo_sapiens	TRANSPORTIN-3
1653	GL50803_15444	4k1pA	4K1P	A	0.8739	1.98	0.113	0.9377	-1.9	1.33178	0.49	0.15	10.7	4.6	321	321	269	0	52	321	360	360	Bacillus_cereus	NheA
1654	GL50803_15445	4bedB	4BED	B	0.8475	2.43	0.128	0.9545	-2.84	1.27998	0.39	0.13	12.8	4.2	286	286	116	0	170	286	1734	1734	Megathura_crenulata	HEMOCYANIN_KLH1
1655	GL50803_15446	4i6jB	4I6J	B	0.8385	3.29	0.112	0.9704	-4.16	0.554812	0.27	0.08	16.9	2.8	338	338	121	0	217	338	428	428	Homo_sapiens	F-box/LRR-repeat_protein_3
1656	GL50803_15450	2gsxA	2GSX	A	0.5455	8.15	0.052	0.8065	-1.85	0.447079	0.49	0.15	13.3	4.1	930	930	222	4	704	930	951	951	Homo_sapiens	Complement_receptor_type_2
1657	GL50803_15454	1ialA	1IAL	A	0.7852	2.36	0.129	0.8479	-2.45	0.891137	0.43	0.14	13.2	4.1	480	480	386	0	94	480	453	453	Mus_musculus	IMPORTIN_ALPHA
1658	GL50803_15455	1qgkA	1QGK	A	0.7738	3.25	0.108	0.9662	-1.83	1.3211	0.49	0.15	9.8	4.6	237	237	129	0	108	237	876	876	Homo_sapiens	PROTEIN_(IMPORTIN_BETA_SUBUNIT)
1659	GL50803_15460	3boaA	3BOA	A	0.8452	2.64	0.108	0.9293	-2.22	0.624391	0.45	0.15	12.5	4.3	467	467	304	13	150	467	504	504	Saccharomyces_cerevisiae	Protein_disulfide-isomerase
1660	GL50803_15461	3ddlA	3DDL	A	0.8198	2.7	0.093	0.9596	-2.79	1.02897	0.39	0.13	12.1	4.4	223	223	161	5	57	223	273	273	Salinibacter_ruber	Xanthorhodopsin
1661	GL50803_15464	3j5pB	3J5P	B	0.8378	2.8	0.099	0.9168	-2.07	0.746314	0.47	0.15	12.5	4.3	541	541	304	0	237	541	598	598	Rattus_norvegicus	Transient_receptor_potential_cation_channel_subfamily_V_member_1
1662	GL50803_15469	3eihA	3EIH	A	0.5443	1.4	0.322	0.5571	-3.48	0.0611882	0.33	0.11	16.5	3	569	569	197	1	371	569	340	340	Saccharomyces_cerevisiae	Vacuolar_protein_sorting-associated_protein_4
1663	GL50803_15472	3ggzD	3GGZ	D	0.7237	3.28	0.125	0.8925	-1.47	0.818521	0.53	0.15	8.4	4.5	186	186	162	0	24	186	193	193	Saccharomyces_cerevisiae	Increased_sodium_tolerance_protein_1
1664	GL50803_15473	3cnfB	3CNF	B	0.8138	2.35	0.097	0.8417	-2.38	0.461285	0.44	0.14	15.2	3.4	1093	1093	225	8	860	1093	1333	1333	Bombyx_mori_cypovirus_1	VP1
1665	GL50803_15474	4mh6A	4MH6	A	0.9229	1.18	0.101	0.9801	-0.75	1.58567	0.62	0.14	6.3	3.9	151	151	122	0	29	151	177	177	Vibrio_parahaemolyticus_RIMD_2210633	Putative_type_III_secretion_protein_YscO
1666	GL50803_15477	4hqfA	4HQF	A	0.6567	2.42	0.133	0.7471	-3.36	0.326497	0.34	0.12	14	3.9	261	261	137	0	124	261	281	281	Plasmodium_falciparum	Thrombospondin-related_anonymous_protein,_TRAP
1667	GL50803_15479	2vgpB	2VGP	B	0.7134	1.49	0.217	0.7371	-2.97	0.353067	0.38	0.13	13.9	3.9	369	369	138	8	223	369	284	284	Xenopus_laevis	SERINE/THREONINE-PROTEIN_KINASE_12-A
1668	GL50803_15483	4k1cA	4K1C	A	0.8557	2.05	0.068	0.9121	-2.39	1.20471	0.43	0.14	12.5	4.3	387	387	326	3	58	387	421	421	Saccharomyces_cerevisiae_S288c	Vacuolar_calcium_ion_transporter
1669	GL50803_15487	1pevA	1PEV	A	0.5889	2.12	0.126	0.6104	-2.02	0.0711056	0.47	0.15	13.9	3.9	960	960	219	99	642	960	611	611	Caenorhabditis_elegans	Actin_interacting_protein_1
1670	GL50803_15490	3mvpA	3MVP	A	0.7851	2.62	0.104	0.9091	-2.67	1.13531	0.41	0.14	11.7	4.5	220	220	189	0	31	220	217	217	Streptococcus_mutans_UA159	TetR/AcrR_transcriptional_regulator
1671	GL50803_15495	4a2lA	4A2L	A	0.7819	2.37	0.083	0.8152	-2.41	0.313279	0.43	0.14	14.7	3.6	871	871	236	5	630	871	795	795	Bacteroides_thetaiotaomicron_VPI-5482	TWO-COMPONENT_SYSTEM_SENSOR_HISTIDINE_KINASE/RESPONSE
1672	GL50803_15496	2ynsA	2YNS	A	0.8591	2.89	0.081	0.9697	-2.19	1.20202	0.46	0.15	12	4.4	396	396	295	0	101	396	490	490	Oryza_sativa_Japonica_Group	IMPORTIN_SUBUNIT_ALPHA-1A
1673	GL50803_15497	3vwaA	3VWA	A	0.8209	2.73	0.086	0.8917	-3.25	0.34238	0.35	0.12	15.6	3.3	517	517	330	1	186	517	560	560	Saccharomyces_cerevisiae_S288c	Cytoplasmic_export_protein_1
1674	GL50803_15499	1sjjA	1SJJ	A	0.8406	3.61	0.098	0.9977	-1.95	0.712135	0.48	0.15	11.6	4.5	431	431	422	0	9	431	863	863	Gallus_gallus	actinin
1675	GL50803_15500	1xbsA	1XBS	A	0.9333	0.63	0.279	0.951	1.43	0.882528	0.91	0.06	2	1.6	143	143	90	6	47	143	149	149	Homo_sapiens	Dim1-like_protein
1676	GL50803_15501	4j3pA	4J3P	A	0.8363	1.97	0.073	0.8889	-2.35	1.22101	0.44	0.14	12.2	4.4	369	369	137	19	213	369	383	383	Aspergillus_oryzae	Catechol_oxidase
1677	GL50803_15513	2ymuA	2YMU	A	0.7988	2.74	0.121	0.8683	-2.87	0.400799	0.39	0.13	14.7	3.6	562	562	263	13	286	562	577	577	Nostoc_punctiforme	WD-40_REPEAT_PROTEIN
1678	GL50803_15514	3c4wB	3C4W	B	0.5355	3.49	0.198	0.5996	-3.58	0.0887694	0.32	0.11	16.5	2.9	527	527	206	0	321	527	543	543	Bos_taurus	Rhodopsin_kinase
1679	GL50803_15515	3gjxA	3GJX	A	0.8171	3.5	0.114	0.8962	-3.65	0.394887	0.32	0.1	18.5	2.2	963	963	325	10	628	963	1073	1073	Mus_musculus	Exportin-1
1680	GL50803_15522	1qgkA	1QGK	A	0.8872	2.87	0.098	0.9578	-2.64	0.239115	0.41	0.14	14.8	3.6	734	734	474	1	259	734	876	876	Homo_sapiens	PROTEIN_(IMPORTIN_BETA_SUBUNIT)
1681	GL50803_15525	2wb9A	2WB9	A	0.5831	3.26	0.114	0.8085	-4.32	0.265586	0.26	0.08	14.9	3.6	141	141	80	0	61	141	211	211	Fasciola_hepatica	GLUTATHIONE_TRANSFERASE_SIGMA_CLASS
1682	GL50803_15529	4mu6A	4MU6	A	0.7585	2.13	0.124	0.819	-3.09	0.806166	0.37	0.12	13.9	3.9	326	326	194	0	132	326	367	367	Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	Kinectin_1_(Kinesin_receptor)
1683	GL50803_15530	1hpcA	1HPC	A	0.5701	1.9	0.198	0.6268	-3.34	0.294455	0.34	0.12	13.3	4.1	209	209	132	7	70	209	131	131	Pisum_sativum	H_PROTEIN_OF_THE_GLYCINE_CLEAVAGE_SYSTEM
1684	GL50803_15531	2ovqB	2OVQ	B	0.7221	3.38	0.094	0.8194	-2.68	0.352398	0.41	0.14	13.9	3.9	504	504	228	10	266	504	445	445	Homo_sapiens	F-box/WD_repeat_protein_7
1685	GL50803_15532	3ea5B	3EA5	B	0.8889	1.99	0.112	0.9862	-2.4	1.09737	0.43	0.14	11	4.6	218	218	181	2	35	218	861	861	Saccharomyces_cerevisiae	Importin_subunit_beta-1
1686	GL50803_15535	1dhsA	1DHS	A	0.8699	0.86	0.554	0.8817	-0.02	1.50235	0.71	0.12	6.8	4.1	389	389	206	0	183	389	361	361	Homo_sapiens	DEOXYHYPUSINE_SYNTHASE
1687	GL50803_15537	1qgkA1	1QGK	A	0.725	2.64	0.119	0.8162	-3.54	0.517587	0.33	0.11	15.3	3.4	359	359	239	5	115	359	876	876	Homo_sapiens	PROTEIN_(IMPORTIN_BETA_SUBUNIT)
1688	GL50803_15538	2w00B	2W00	B	0.4318	6.35	0.057	0.7092	-3.76	0.294442	0.31	0.1	15.8	3.2	337	337	233	0	104	337	1038	1038	Escherichia_coli	HSDR
1689	GL50803_15545	1b3uA	1B3U	A	0.8784	2.44	0.082	0.9407	-2.19	0.331662	0.46	0.15	13.2	4.1	624	624	609	0	15	624	588	588	Homo_sapiens	PROTEIN_(PROTEIN_PHOSPHATASE_PP2A)
1690	GL50803_15546	4mu6A	4MU6	A	0.8826	1.8	0.094	0.9387	-2.93	0.727555	0.38	0.13	12.8	4.2	261	261	205	0	56	261	367	367	Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	Kinectin_1_(Kinesin_receptor)
1691	GL50803_15547	2xpiA	2XPI	A	0.7071	3.63	0.088	0.8075	-2.19	0.372988	0.46	0.15	13.3	4.1	639	639	560	3	76	639	597	597	Schizosaccharomyces_pombe	ANAPHASE-PROMOTING_COMPLEX_SUBUNIT_CUT9
1692	GL50803_15548	4jspB	4JSP	B	0.8576	2.01	0.094	0.8837	-2.51	0.203431	0.42	0.14	15.5	3.3	1066	1066	428	29	609	1066	1174	1174	Homo_sapiens	Serine/threonine-protein_kinase_mTOR
1693	GL50803_15549	4kvmA	4KVM	A	0.8879	2.34	0.066	0.9302	-1.8	0.378872	0.5	0.15	12.6	4.3	745	745	727	0	18	745	734	734	Schizosaccharomyces_pombe	N-terminal_acetyltransferase_A_complex_subunit_nat1
1694	GL50803_15553	2x1gF	2X1G	F	0.789	4.87	0.086	0.9397	-2.64	0.344232	0.41	0.14	15.2	3.4	846	846	617	2	227	846	971	971	Drosophila_melanogaster	CADMUS
1695	GL50803_15555	3i61A	3I61	A	0.6306	1.49	0.214	0.6452	-2.62	0.0618385	0.41	0.14	14.8	3.6	730	730	499	10	221	730	563	563	Saccharomyces_cerevisiae	ATP-dependent_RNA_helicase_MSS116
1696	GL50803_15556	4jspB	4JSP	B	0.9406	1.86	0.101	0.997	-2.91	0.639575	0.38	0.13	13.5	4	337	337	255	0	82	337	1174	1174	Homo_sapiens	Serine/threonine-protein_kinase_mTOR
1697	GL50803_15559	4c2mA	4C2M	A	0.8067	3.23	0.087	0.895	-2.72	0.762627	0.4	0.14	13.8	3.9	457	457	237	0	220	457	1664	1664	Saccharomyces_cerevisiae	DNA-DIRECTED_RNA_POLYMERASE_I_SUBUNIT_RPA190
1698	GL50803_15564	2pbhA	2PBH	A	0.8428	1.22	0.319	0.8675	-0.62	1.41471	0.63	0.13	7.8	4.4	332	332	121	6	205	332	317	317	Homo_sapiens	PROCATHEPSIN_B
1699	GL50803_15566	2qenA	2QEN	A	0.848	1.82	0.098	0.8977	-2.82	0.774168	0.39	0.13	13.3	4.1	352	352	176	6	170	352	350	350	Pyrococcus_abyssi	WALKER-TYPE_ATPASE
1700	GL50803_15567	2f9mA	2F9M	A	0.8338	0.88	0.484	0.8505	0	1.09832	0.71	0.11	5.5	3.5	214	214	134	4	76	214	199	199	Homo_sapiens	RAB11B,_member_RAS_oncogene_family
1701	GL50803_15569	3hc1A	3HC1	A	0.8048	3.24	0.123	0.9502	-3.87	0.659667	0.3	0.1	15.6	3.3	281	281	215	0	66	281	305	305	Geobacter_sulfurreducens	uncharacterized_HDOD_domain_protein
1702	GL50803_15573	4btgA	4BTG	A	0.8309	3.17	0.101	0.9046	-3.82	0.424669	0.3	0.1	18.2	2.3	744	744	351	4	389	744	761	761	Pseudomonas_phage_phi6	MAJOR_INNER_PROTEIN_P1
1703	GL50803_15574	4hxeB	4HXE	B	0.7941	1.31	0.166	0.8093	-0.61	0.512273	0.64	0.13	9.6	4.6	729	729	167	58	504	729	622	622	Pyrococcus_horikoshii	Putative_uncharacterized_protein_PH0594
1704	GL50803_15581	4jspD	4JSP	D	0.8572	1.38	0.158	0.8889	-0.48	1.45222	0.65	0.13	7.5	4.3	342	342	124	17	201	342	326	326	Homo_sapiens	Target_of_rapamycin_complex_subunit_LST8
1705	GL50803_15585	3gjxA	3GJX	A	0.6661	4.54	0.098	0.7478	-3.54	0.487007	0.33	0.11	19.2	2	1336	1336	401	32	903	1336	1073	1073	Mus_musculus	Exportin-1
1706	GL50803_15589	4kx7A	4KX7	A	0.8222	2.1	0.094	0.8876	-3.27	0.36902	0.35	0.12	14.5	3.7	347	347	269	5	73	347	888	888	Homo_sapiens	Glutamyl_aminopeptidase
1707	GL50803_15594	1w63C	1W63	C	0.8241	2.43	0.111	0.8793	-2.48	0.382487	0.43	0.14	14.1	3.8	663	663	462	3	198	663	618	618	Mus_musculus	ADAPTER-RELATED_PROTEIN_COMPLEX_1_GAMMA_1_SUBUNIT
1708	GL50803_15598	2cydA	2CYD	A	0.8566	0.67	0.192	0.8715	0.44	1.40351	0.77	0.1	4.2	2.8	179	179	142	0	37	179	156	156	Enterococcus_hirae	V-type_sodium_ATP_synthase_subunit_K
1709	GL50803_15599	2mawA	2MAW	A	0.6878	1.68	0.081	0.75	-2.43	0.809024	0.43	0.14	10.4	4.6	164	164	133	0	31	164	137	137	Homo_sapiens	Neuronal_acetylcholine_receptor_subunit_alpha-7
1710	GL50803_15600	1djnA	1DJN	A	0.5361	4.74	0.079	0.8362	-4.11	0.280385	0.28	0.09	15	3.5	177	177	82	1	94	177	729	729	Methylophilus_methylotrophus_W3A1	TRIMETHYLAMINE_DEHYDROGENASE
1711	GL50803_15602	3d2rB	3D2R	B	0.7195	2.89	0.063	0.9764	-2.63	0.84346	0.41	0.14	10.2	4.6	127	127	109	0	18	127	394	394	Homo_sapiens	[Pyruvate_dehydrogenase_[lipoamide]]_kinase_isozyme_4
1712	GL50803_15603	4k1pA	4K1P	A	0.8382	1.77	0.124	0.8966	-1.93	1.14097	0.48	0.15	10.3	4.6	261	261	250	0	11	261	360	360	Bacillus_cereus	NheA
1713	GL50803_15604	4b4tW	4B4T	W	0.515	1.52	0.255	0.5444	-4.37	0.19041	0.26	0.08	16.8	2.9	259	259	169	3	87	259	268	268	Saccharomyces_cerevisiae	26S_PROTEASOME_REGULATORY_SUBUNIT_RPN10
1714	GL50803_15606	1ygtA	1YGT	A	0.8902	1.2	0.172	0.9789	1.12	0	0.87	0.07	1.8	1.5	95	95	66	5	24	95	111	111	Drosophila_melanogaster	Cytoplasmic_dynein_light_chain
1715	GL50803_15769	2gfnB	2GFN	B	0.6798	3.2	0.087	0.8731	-2.4	1.64505	0.43	0.14	10.8	4.6	197	197	152	0	45	197	209	209	Rhodococcus_jostii_RHA1	HTH-type_transcriptional_regulator_pksA_related_protein
1716	GL50803_15777	4jspB	4JSP	B	0.9327	2.18	0.09	0.9873	-2.63	0.698667	0.41	0.14	14	3.9	551	551	429	1	121	551	1174	1174	Homo_sapiens	Serine/threonine-protein_kinase_mTOR
1717	GL50803_15820	3draA	3DRA	A	0.8518	1.78	0.168	0.9058	0.56	0.801963	0.79	0.09	5.2	3.3	329	329	285	0	44	329	306	306	Candida_albicans	Protein_farnesyltransferase/geranylgeranyltransferase_type-1_subunit_alpha
1718	GL50803_15823	3amkA	3AMK	A	0.8369	1.37	0.384	0.8519	0.18	0.940115	0.74	0.11	7.9	4.4	783	783	191	33	559	783	702	702	Oryza_sativa	Os06g0726400_protein
1719	GL50803_15832	3mruA	3MRU	A	0.9193	1.1	0.343	0.9351	0.99	0.589596	0.85	0.08	5.3	3.4	524	524	207	20	297	524	490	490	Vibrio_alginolyticus	Aminoacyl-histidine_dipeptidase
1720	GL50803_15834	4mu6A	4MU6	A	0.8788	2.1	0.092	0.963	-2.73	0.747085	0.4	0.13	12.4	4.3	270	270	189	4	77	270	367	367	Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	Kinectin_1_(Kinesin_receptor)
1721	GL50803_15847	3haiA	3HAI	A	0.7944	2.92	0.113	0.9648	-2.29	1.36557	0.45	0.14	11.1	4.6	256	256	238	0	18	256	308	308	Homo_sapiens	human_PACSIN1_F-BAR
1722	GL50803_15867	4aurA	4AUR	A	0.781	2.25	0.135	0.8253	-3.33	0.456053	0.34	0.12	16.2	3.1	601	601	416	5	180	601	577	577	Escherichia_coli	LEOA
1723	GL50803_15868	1b3uA	1B3U	A	0.8236	3.19	0.102	0.9191	-2.97	0.355663	0.38	0.13	15.2	3.4	606	606	351	6	249	606	588	588	Homo_sapiens	PROTEIN_(PROTEIN_PHOSPHATASE_PP2A)
1724	GL50803_15869	1a2kE	1A2K	E	0.8932	0.75	0.517	0.9071	1.02	1.54141	0.85	0.08	3.6	2.5	226	226	90	10	126	226	216	216	Canis_lupus	RAN
1725	GL50803_15871	3n2zB	3N2Z	B	0.8538	1.87	0.188	0.8955	-0.31	1.15243	0.67	0.13	7.9	4.4	469	469	253	11	205	469	446	446	Homo_sapiens	Lysosomal_Pro-X_carboxypeptidase
1726	GL50803_15873	2cseW	2CSE	W	0.8211	3.7	0.122	0.8922	-2.76	0.212546	0.4	0.13	16.6	2.9	1197	1197	238	18	941	1197	1275	1275	Mammalian_orthoreovirus_1_Lang	major_core_protein_lambda_1
1727	GL50803_15887	4b2nA	4B2N	A	0.8513	1.86	0.114	0.8775	-3.12	0.366355	0.36	0.12	16.1	3.1	702	702	266	4	432	702	662	662	Xanthomonas_sp._35Y	70_KDA_PROTEIN
1728	GL50803_15888	3chnS	3CHN	S	0.8345	2.7	0.072	0.8925	-2.42	0.348218	0.43	0.14	13.8	3.9	623	623	64	0	559	623	585	585	Homo_sapiens	Secretory_component
1729	GL50803_15889	4j72A	4J72	A	0.8082	1.49	0.153	0.8415	-0.52	1.21934	0.65	0.13	7.8	4.4	366	366	272	4	90	366	365	365	Aquifex_aeolicus	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1730	GL50803_15893	4juyA	4JUY	A	0.7846	2.21	0.12	0.8911	-3.75	0.622652	0.31	0.1	14.3	3.8	202	202	109	0	93	202	198	198	Homo_sapiens	E3_ubiquitin-protein_ligase_RNF31
1731	GL50803_15897	1tllA	1TLL	A	0.8582	2.43	0.205	0.9113	0.14	1.04237	0.73	0.11	7.5	4.3	631	631	232	22	377	631	688	688	Rattus_norvegicus	Nitric-oxide_synthase,_brain
1732	GL50803_15898	4bejA	4BEJ	A	0.8134	3.03	0.12	0.9044	-3.8	0.35701	0.3	0.1	17.3	2.7	544	544	262	6	276	544	617	617	Homo_sapiens	DYNAMIN_1-LIKE_PROTEIN
1733	GL50803_1590	3tm8A	3TM8	A	0.6898	2.34	0.042	0.96	-1.87	0.92709	0.49	0.15	7.2	4.2	75	75	62	0	13	75	328	328	Bdellovibrio_bacteriovorus_HD100	Uncharacterized_protein
1734	GL50803_15906	2yuhA	2YUH	A	0.5691	1.78	0.242	0.5993	-3.25	0.268373	0.35	0.12	14	3.9	297	297	137	3	157	297	179	179	Homo_sapiens	Tubulin-specific_chaperone_C
1735	GL50803_15918	4j6sB	4J6S	B	0.8192	2.4	0.114	0.9386	-4.12	0.58868	0.28	0.09	15.7	3.3	228	228	156	4	68	228	255	255	Homo_sapiens	14-3-3_protein_gamma
